 Fields to use
 Latitude range and number of values        58.000    65.000        36
 Longitude range and number of values        2.000     8.000        31
 Contour level to plot and color          90.0
 Contour level to plot and color          50.0
 Contour level to plot and color          20.0
 Contour level to plot and color           5.0
 Contour level to plot and color           2.0
 Contour level to plot and color           1.8
 Contour level to plot and color           1.6
 Contour level to plot and color           1.4
 Contour level to plot and color           1.2
 Contour level to plot and color           1.0
 Contour level to plot and color           0.9
 Contour level to plot and color           0.8
 Contour level to plot and color           0.7
 Contour level to plot and color           0.6
 Contour level to plot and color           0.5
 Contour level to plot and color           0.4
 Contour level to plot and color           0.3
 Contour level to plot and color           0.2
 Contour level to plot and color           0.1
   5.59999990       61.5999985       4.06904697    
   5.80000019       61.5999985       4.65624571    
   6.00000000       61.5999985       5.28414488    
   6.20000029       61.5999985       5.95022106    
   6.40000010       61.5999985       6.62753105    
   6.59999990       61.5999985       7.31357765    
   6.80000019       61.5999985       8.00587845    
   7.00000000       61.5999985       8.70465660    
   7.20000029       61.5999985       9.38554382    
   7.40000010       61.5999985       10.0618000    
   7.59999990       61.5999985       10.7389393    
   7.80000019       61.5999985       11.4093857    
   8.00000000       61.5999985       12.0787201    
   2.00000000       61.7999992       5.52540636    
   2.20000005       61.7999992       5.21888494    
   2.40000010       61.7999992       4.92085171    
   2.59999990       61.7999992       4.63594675    
   2.79999995       61.7999992       4.36326551    
   3.00000000       61.7999992       4.10273361    
   3.20000005       61.7999992       3.86611724    
   3.40000010       61.7999992       3.66009688    
   3.59999990       61.7999992       3.49358845    
   3.79999995       61.7999992       3.37600636    
   4.00000000       61.7999992       3.31479764    
   4.19999981       61.7999992       3.30671239    
   4.40000010       61.7999992       3.37397218    
   4.59999990       61.7999992       3.51780891    
   4.80000019       61.7999992       3.73556185    
   5.00000000       61.7999992       4.01994276    
   5.19999981       61.7999992       4.36392021    
   5.40000010       61.7999992       4.76806545    
   5.59999990       61.7999992       5.25505877    
   5.80000019       61.7999992       5.81346464    
   6.00000000       61.7999992       6.40830040    
   6.20000029       61.7999992       7.02975178    
   6.40000010       61.7999992       7.66973829    
   6.59999990       61.7999992       8.32162476    
   6.80000019       61.7999992       8.97866631    
   7.00000000       61.7999992       9.61141872    
   7.20000029       61.7999992       10.2405319    
